Name,URL,Current Price,Previous Price,Deal Amount,Image URL
Sony LinkBuds S Earbud Headphones,https://www.amazon.com/Sony-LinkBuds-Wireless-Canceling-Headphones/dp/B09YL76VSR?ref=dlx_deals_gd_dcl_img_11_5a6eff6f_dt_sl15_6b,148.00,199.99,25% off,"https://m.media-amazon.com/images/I/21-eq8Ox0ZL._AC_UF226,226_FMjpg_.jpg"
"SAMSUNG 30”- 100” The Freestyle FHD HDR Smart Portable Projector for Indoor and Outdoor Home Theater Big Screen Experience with Premium 360 Sound with Alexa Built-In (SP-LSP3BLAXZA, 2022 Model)",https://www.amazon.com/SAMSUNG-Freestyle-Projector-Experience-SP-LSP3BLAXZA/dp/B09NDXB72V?ref=dlx_deals_gd_dcl_img_12_ec93a58b_dt_sl15_6b,797.99,897.99,11% off,"https://m.media-amazon.com/images/I/31pyZ+aqA0L._AC_UF226,226_FMjpg_.jpg"
"SAMSUNG 120-Inch The Premiere Ultra Short Throw 4K UHD Smart Triple Laser Home Theater Projector, 2.2Ch Surround Sound System with Alexa Built-In (SP-LSP7TFAXZA, 2020 Model)",https://www.amazon.com/SAMSUNG-Premiere-Projector-Built-SP-LSP7TFAXZA/dp/B08DL6KY3Z?ref=dlx_deals_gd_dcl_img_13_2b6dc65b_dt_sl15_6b,"2,997.99","3,497.99",$500 off,"https://m.media-amazon.com/images/I/31yaEBPvK4L._AC_UF226,226_FMjpg_.jpg"
"SAMSUNG 85-Inch Class Neo QLED 4K QN85B Series Mini LED Quantum HDR 24x, Dolby Atmos, Object Tracking Sound, Motion Xcelerator Turbo+ Smart TV with Alexa Built-In (QN85QN85BAFXZA, 2022 Model)",https://www.amazon.com/SAMSUNG-85-Inch-Tracking-Xcelerator-QN85QN85BAFXZA/dp/B09SBGF5CC?ref=dlx_deals_gd_dcl_img_16_b981e7d1_dt_sl15_6b,"3,297.99","3,997.99",$700 off,"https://m.media-amazon.com/images/I/51SQ2nVJeWL._AC_UF226,226_FMjpg_.jpg"
Upgraded Lemon Squeezer,https://www.amazon.com/Squeezer-Quality-Stainless-Juicing-Vegetables/dp/B089QC9941?ref=dlx_deals_gd_dcl_img_17_bbfa1fb0_dt_sl15_6b,17.99,26.99,33% off,"https://m.media-amazon.com/images/I/51Wt0R0XnEL._AC_UF226,226_FMjpg_.jpg"
E9 Active Noise Cancelling Bluetooth Headphones,https://www.amazon.com/Tapela-Bluetooth-Headphones-Cancelling-Comfortable/dp/B09KTH91JK?ref=dlx_deals_gd_dcl_img_18_5fbbe0f4_dt_sl15_6b,59.99,79.99,25% off,"https://m.media-amazon.com/images/I/31DbPB7yGaL._AC_UF226,226_FMjpg_.jpg"
E7 Active Noise Cancelling Bluetooth Headphones,https://www.amazon.com/PurelySound-E7-Cancelling-Headphones-Comfortable/dp/B09JG4QZK6?ref=dlx_deals_gd_dcl_img_19_2e368769_dt_sl15_6b,26.99,34.98,22% off,"https://m.media-amazon.com/images/I/41zbn0vKAOL._AC_UF226,226_FMjpg_.jpg"
2 in 1 Detachable Sound Bars for TV,https://www.amazon.com/Assist-trust-Sound-TV-Bar/dp/B09FPKNF53?ref=dlx_deals_gd_dcl_img_20_c0b090cd_dt_sl15_6b,76.49,89.99,15% off,"https://m.media-amazon.com/images/I/31xpAelwX9L._AC_UF226,226_FMjpg_.jpg"
SE8 Active Noise Cancelling Headphones,https://www.amazon.com/Tapvos-SE8-Active-Noise-Cancelling/dp/B09LM6TYR8?ref=dlx_deals_gd_dcl_img_21_d8cbffd9_dt_sl15_6b,59.99,99.99,40% off,"https://m.media-amazon.com/images/I/31WHaRuGKEL._AC_UF226,226_FMjpg_.jpg"
Sushi Making Kit 10 Pieces,https://www.amazon.com/Making-Deluxe-Complete-Plastic-Spatula/dp/B08C7NY5RT?ref=dlx_deals_gd_dcl_img_23_0109cd6d_dt_sl15_6b,19.99,25.99,23% off,"https://m.media-amazon.com/images/I/51J11KseR7L._AC_UF226,226_FMjpg_.jpg"
"Wind Chimes Soothing Melodic Tones Gifts for mom Grandma Wife Daughter Sister Aunt Grandma,Birthday Gifts for Women,Mother Outdoor Decor,Yard Decorations Outdoor",https://www.amazon.com/Soothing-Melodic-Daughter-Birthday-Decorations/dp/B0B2P9K8BK?ref=dlx_deals_gd_dcl_img_24_7b569204_dt_sl15_6b,23.99,32.99,27% off,"https://m.media-amazon.com/images/I/21a96iiyPVL._AC_UF226,226_FMjpg_.jpg"
Disposable Coffee Cups with Lids and Straws - 16 oz (90 Set) Togo Hot Paper Coffee Cup with Lid To Go for Beverages Espresso Tea Insulated Reusable Cold Drinks Ripple Cups Protect Fingers From Heat!,https://www.amazon.com/Disposable-Coffee-Cups-Lids-Straws/dp/B07RFR7R8F?ref=dlx_deals_gd_dcl_img_25_5e500225_dt_sl15_6b,30.23,37.69,19% off,"https://m.media-amazon.com/images/I/51X0T-+92CL._AC_UF226,226_FMjpg_.jpg"
"Mothers Day Gifts for Mom, Heart Necklaces for Women, Sterling Silver I Love You Necklace, Romantic Gift from Daughter Son,Birthday Mother’s Day Jewelry Gift for Mom Women Girls",https://www.amazon.com/Necklaces-Sterling-Necklace-Romantic-Daughter/dp/B0B28V53QY?ref=dlx_deals_gd_dcl_img_28_13c929d9_dt_sl15_6b,49.99,79.00,36% off,"https://m.media-amazon.com/images/I/418PeBEV4BL._AC_UF226,226_FMjpg_.jpg"
